 3  B  B  B  B 19 29 34 43 46 47
 4  B  B  B 14 19 23  B 37 41 43
 5  B  B  B 19  B 23 29  B 34  B
 6  B  B  B 16  B  B 23  B  B 29
 7  B  B 19  B  B 25  B  B  B 37
 8  B  B 15 19  B 23 25  B 29  B
 9  B  B 14  B 19  B  B 25  B 29
10 14 15 16 19 23 25 28 29 32 34
11 14 16  B  B  B  B 28  B 32 34
12 14 15 17 18 19  B 23 25 28 29
13  B 19  B  B  B 25 29  B  B 34
14  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?
15  B  B 19  B  B 23 24 25  B 29
16 19  B 23 24 25 26 27 28  B 38
17  B 23 25 26 27 28 29  B  B  B
18  B  B 23 24 26 27 28 29  B  B
19  B 23 25  B 28 29 30 31 32  B
20 23 24 26 27 29 30 31 32 33 34
