 B  B  B  B  B 19 29 34 43 46 47
 B  B  B  B 14 19 23  B 37 41 43
 B  B  B  B 19  B 23 29  B 34  B
 B  B  B  B 16  B  B 23  B  B 29
 B  B  B 19  B  B 25  B  B  B 37
 B  B  B 15 19  B 23 25  B 29  B
 B  B  B 14  B 19  B  B 25  B 29
 B 14 15 16 19 23 25 28 29 32 34
 B 14 16  B  B  B  B 28  B 32 34
 B 14 15  B  B 19  B 23 25 28 29
 B  B 19  B  B  B 25 29  B  B 34
14  ?  ?  ?  ?  ?  ?  ?  ?  ?  ?
15  B  B 19  B  B 23  B 25  B 29
16 19  B 23  B 25  B  B 28  B 38
 B  B 23 25  B  B 28 29  B  B  B
 B  B  B 23  B  B  B 28 29  B  B
19  B 23 25  B 28 29  B  B 32  B
B  23  B  B  B 29  B  B 32  B 34
